split,row_id,true_score,pred_score,direct_outcome,derived_outcome,direct_btts,derived_btts,direct_over25,derived_over25,conflict_pattern
train,0,2:1,2:1,H,H,1,1,0,1,over25:0!=1
train,2,2:1,2:1,H,H,0,1,0,1,btts:0!=1|over25:0!=1
train,3,0:1,1:1,D,D,0,1,0,0,btts:0!=1
train,5,1:2,2:1,H,H,0,1,0,1,btts:0!=1|over25:0!=1
train,6,3:1,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,7,3:4,2:1,A,H,1,1,0,1,outcome:A!=H|over25:0!=1
train,10,0:3,1:2,A,A,0,1,0,1,btts:0!=1|over25:0!=1
train,11,0:2,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,12,2:0,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,13,2:2,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,16,0:2,1:1,D,D,0,1,0,0,btts:0!=1
train,17,4:0,3:1,H,H,0,1,1,1,btts:0!=1
train,19,0:0,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,20,1:0,1:2,D,A,1,1,1,1,outcome:D!=A
train,22,0:0,2:1,H,H,1,1,0,1,over25:0!=1
train,24,1:2,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,25,1:1,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,26,3:0,3:1,H,H,0,1,1,1,btts:0!=1
train,27,1:2,1:2,H,A,1,1,1,1,outcome:H!=A
train,28,2:3,1:2,A,A,0,1,1,1,btts:0!=1
train,29,1:0,2:1,H,H,0,1,0,1,btts:0!=1|over25:0!=1
train,30,1:3,0:3,A,A,1,0,1,1,btts:1!=0
train,31,0:0,1:2,A,A,0,1,0,1,btts:0!=1|over25:0!=1
train,33,1:2,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,35,3:1,2:1,H,H,0,1,1,1,btts:0!=1
train,36,2:0,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,37,2:1,2:1,H,H,1,1,0,1,over25:0!=1
train,38,3:2,2:1,H,H,0,1,1,1,btts:0!=1
train,39,2:0,1:1,D,D,0,1,0,0,btts:0!=1
train,40,2:2,1:1,D,D,0,1,0,0,btts:0!=1
train,41,1:4,1:2,D,A,1,1,1,1,outcome:D!=A
train,42,2:0,2:0,H,H,0,0,1,0,over25:1!=0
train,44,0:1,1:2,D,A,1,1,1,1,outcome:D!=A
train,47,0:1,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
